Date,Value,quarter,month,weekofyear,year
2000-08-12,40.69,3,8,32,2000
2000-08-13,40.69,3,8,32,2000
2000-08-14,41.28,3,8,33,2000
2000-08-15,40.66,3,8,33,2000
2000-08-16,41.38,3,8,33,2000
2000-08-17,41.91,3,8,33,2000
2000-08-18,41.46,3,8,33,2000
2000-08-19,41.46,3,8,33,2000
2000-08-20,41.46,3,8,33,2000
2000-08-21,41.75,3,8,34,2000
2000-08-22,41.56,3,8,34,2000
2000-08-23,42.25,3,8,34,2000
2000-08-24,41.47,3,8,34,2000
2000-08-25,41.47,3,8,34,2000
2000-08-26,41.47,3,8,34,2000
2000-08-27,41.47,3,8,34,2000
2000-08-28,41.41,3,8,35,2000
2000-08-29,41.26,3,8,35,2000
2000-08-30,40.68,3,8,35,2000
2000-08-31,40.82,3,8,35,2000
2000-09-01,41.25,3,9,35,2000
2000-09-02,41.25,3,9,35,2000
2000-09-03,41.25,3,9,35,2000
2000-09-04,41.25,3,9,36,2000
2000-09-05,41.69,3,9,36,2000
2000-09-06,41.5,3,9,36,2000
2000-09-07,41.88,3,9,36,2000
2000-09-08,41.75,3,9,36,2000
2000-09-09,41.75,3,9,36,2000
2000-09-10,41.75,3,9,36,2000
2000-09-11,42.49,3,9,37,2000
2000-09-12,42.88,3,9,37,2000
2000-09-13,42.91,3,9,37,2000
2000-09-14,42.63,3,9,37,2000
2000-09-15,44.0,3,9,37,2000
2000-09-16,44.0,3,9,37,2000
2000-09-17,44.0,3,9,37,2000
2000-09-18,44.82,3,9,38,2000
2000-09-19,44.0,3,9,38,2000
2000-09-20,43.25,3,9,38,2000
2000-09-21,43.16,3,9,38,2000
2000-09-22,43.25,3,9,38,2000
2000-09-23,43.25,3,9,38,2000
2000-09-24,43.25,3,9,38,2000
2000-09-25,42.93,3,9,39,2000
2000-09-26,43.31,3,9,39,2000
2000-09-27,44.62,3,9,39,2000
2000-09-28,44.57,3,9,39,2000
2000-09-29,44.55,3,9,39,2000
2000-09-30,44.55,3,9,39,2000
2000-10-01,44.55,4,10,39,2000
2000-10-02,45.72,4,10,40,2000
2000-10-03,45.41,4,10,40,2000
2000-10-04,44.62,4,10,40,2000
2000-10-05,44.59,4,10,40,2000
2000-10-06,44.72,4,10,40,2000
2000-10-07,44.72,4,10,40,2000
